Image Name,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Label
1-1.dcm,0.0162769693696639,0.0530220380673255,0.028827539045859,0.0906895516254888,0.1062081348611991,0.1287634343319769,0.0773051966449622,0.0599347080190209,0.3540535341818936,0.0849188938525325,BENIGN
1-1.dcm,0.0694226397209011,0.0935067796232759,0.0647896502439472,0.0928884305781999,0.0869308041498932,0.1011694942866573,0.0975380821551708,0.0957839332922682,0.1217518161687891,0.1762183697799712,BENIGN_WITHOUT_CALLBACK
1-1.dcm,0.0230861950901336,0.0779706889070321,0.0330872811393949,0.1047912618413519,0.1105251430601935,0.1408228582266853,0.0958642428222351,0.0856525753898979,0.2090372045805252,0.1191625489422953,MALIGNANT
1-1.dcm,0.0616192432065817,0.0901327795894374,0.0605615346264509,0.0987248036663052,0.0927181623998976,0.1101023175823067,0.1003473858016626,0.0933161965484472,0.1232293386632813,0.1692482379144854,BENIGN_WITHOUT_CALLBACK
1-1.dcm,0.0174310939512139,0.0607829177554894,0.0244554022825811,0.065022488665139,0.0788400048726339,0.0872630244922243,0.0584745655536292,0.0627241692674733,0.4627226547368631,0.0822836784227139,MALIGNANT
1-1.dcm,0.0760126633651215,0.09605216873612,0.0608815650617697,0.0814622398999839,0.0767919473979122,0.0908190599881439,0.0914197580967534,0.101279865789424,0.1335930946768753,0.191687636982484,BENIGN
1-1.dcm,0.0199871679232227,0.0676108559680713,0.033139656808186,0.1315443786381537,0.1361767115736319,0.1824306572812817,0.1106029906689826,0.0790466842801765,0.1282451472374563,0.1112157496200573,MALIGNANT
1-1.dcm,0.0139412679145316,0.0538656536437207,0.0195022441077429,0.0917365802066823,0.0945121299251854,0.1402661577388516,0.0712794621825283,0.0657750281532798,0.3667649147173483,0.0823565614100381,BENIGN
1-1.dcm,0.0231084114048994,0.0763297143949361,0.036365938228272,0.1271007842467978,0.1268592059004857,0.1691324021585438,0.1113236943142054,0.0870775823906666,0.1192057799664291,0.1234964869943332,BENIGN
1-1.dcm,0.034376367399445,0.0438188075401663,0.0296761779325779,0.0422522053418256,0.0398432850841858,0.046796292487833,0.0443663689746886,0.0458431056813781,0.586607963296779,0.0864194262610657,MALIGNANT
1-1.dcm,0.0310294669669644,0.0325656745107149,0.0186441020762126,0.0241571852024418,0.0230863136843721,0.0259132785803023,0.0260888312881826,0.0312929578285156,0.7219842148182081,0.0652379750440042,BENIGN
1-1.dcm,0.0149346721456916,0.0516305630511886,0.0221128908329453,0.0720808650182347,0.0810106149568268,0.1008707721772429,0.060590197194225,0.05612231741461,0.463516412601734,0.0771306946072463,BENIGN
